entidad_id,fecha_salida_latencia
0,2024-09-02
1,2024-09-02
2,2024-09-02
3,2024-09-03
4,2024-09-09
5,2024-09-09
6,2024-09-02
7,2024-09-21
8,2024-09-02
9,2024-09-16
10,2024-09-02
11,2024-09-02
12,2024-09-02
13,2024-09-09
14,2024-09-02
15,2024-09-15
16,2024-09-02
17,2024-09-02
18,2024-09-02
19,2024-09-02
30,2024-09-04
31,2024-09-04
32,2024-09-04
33,2024-09-07
34,2024-09-04
35,2024-09-04
36,2024-09-04
37,2024-09-04
38,2024-09-06
39,2024-09-05
40,2024-09-13
41,2024-09-04
42,2024-09-04
43,2024-09-04
44,2024-09-04
45,2024-09-11
46,2024-09-09
47,2024-09-04
48,2024-09-04
49,2024-09-04
60,2024-09-02
61,2024-09-07
62,2024-09-02
63,2024-09-18
64,2024-09-06
65,2024-09-02
66,2024-09-02
67,2024-09-09
68,2024-09-05
69,2024-09-13
70,2024-09-02
71,2024-09-02
72,2024-09-02
73,2024-09-09
74,2024-09-09
75,2024-09-14
76,2024-09-09
77,2024-09-02
78,2024-09-05
79,2024-09-02
90,2024-09-02
91,2024-09-02
92,2024-09-02
93,2024-09-02
94,2024-09-02
95,2024-09-02
96,2024-09-02
97,2024-09-05
98,2024-09-02
99,2024-09-06
100,2024-09-02
101,2024-09-02
102,2024-09-02
103,2024-09-02
104,2024-09-02
105,2024-09-07
106,2024-09-02
107,2024-09-02
108,2024-09-02
109,2024-09-02
120,2024-09-16
121,2024-09-16
122,2024-09-09
123,2024-09-19
124,2024-09-06
125,2024-09-15
126,2024-09-18
127,2024-09-19
128,2024-09-10
129,2024-09-22
130,2024-09-15
131,2024-09-16
132,2024-09-11
133,2024-09-06
134,2024-09-12
135,2024-09-19
136,2024-09-19
137,2024-09-06
138,2024-09-14
139,2024-09-06
150,2024-09-20
151,2024-09-19
152,2024-09-19
153,2024-09-18
154,2024-09-20
155,2024-09-18
156,2024-09-17
157,2024-09-19
158,2024-09-19
159,2024-09-26
160,2024-09-19
161,2024-09-19
162,2024-09-14
163,2024-09-14
164,2024-09-15
165,2024-09-19
166,2024-09-19
167,2024-09-19
168,2024-09-19
169,2024-09-18
180,2024-09-07
181,2024-09-21
182,2024-09-13
183,2024-09-16
184,2024-09-12
185,2024-09-11
186,2024-09-09
187,2024-09-13
188,2024-09-07
189,2024-09-14
190,2024-09-12
191,2024-09-06
192,2024-09-11
193,2024-09-12
194,2024-09-11
195,2024-09-22
196,2024-09-12
197,2024-09-12
198,2024-09-12
199,2024-09-11
210,2024-09-11
211,2024-09-11
212,2024-09-11
213,2024-09-19
214,2024-09-09
215,2024-09-08
216,2024-09-10
217,2024-09-16
218,2024-09-11
219,2024-09-11
220,2024-09-11
221,2024-09-06
222,2024-09-11
223,2024-09-09
224,2024-09-07
225,2024-09-08
226,2024-09-12
227,2024-09-09
228,2024-09-12
229,2024-09-06
240,2024-09-12
241,2024-09-15
242,2024-09-16
243,2024-09-19
244,2024-09-16
245,2024-09-17
246,2024-09-19
247,2024-09-19
248,2024-09-18
249,2024-09-19
250,2024-09-19
251,2024-09-17
252,2024-09-19
253,2024-09-19
254,2024-09-13
255,2024-09-19
256,2024-09-19
257,2024-09-17
258,2024-09-19
259,2024-09-16
270,2024-09-06
271,2024-09-06
272,2024-09-12
273,2024-09-12
274,2024-09-10
275,2024-09-12
276,2024-09-06
277,2024-09-13
278,2024-09-06
279,2024-09-12
280,2024-09-07
281,2024-09-08
282,2024-09-12
283,2024-09-06
284,2024-09-06
285,2024-09-18
286,2024-09-12
287,2024-09-06
288,2024-09-11
289,2024-09-06
300,2024-09-06
301,2024-09-10
302,2024-09-12
303,2024-09-15
304,2024-09-11
305,2024-09-09
306,2024-09-11
307,2024-09-13
308,2024-09-20
309,2024-09-12
310,2024-09-12
311,2024-09-11
312,2024-09-06
313,2024-09-12
314,2024-09-06
315,2024-09-12
316,2024-09-14
317,2024-09-11
318,2024-09-10
319,2024-09-06
330,2024-09-04
331,2024-09-04
332,2024-09-07
333,2024-09-15
334,2024-09-10
335,2024-09-04
336,2024-09-04
337,2024-09-12
338,2024-09-05
339,2024-09-11
340,2024-09-11
341,2024-09-04
342,2024-09-04
343,2024-09-07
344,2024-09-04
345,2024-09-13
346,2024-09-11
347,2024-09-04
348,2024-09-11
349,2024-09-04
360,2024-09-04
361,2024-09-06
362,2024-09-10
363,2024-09-11
364,2024-09-12
365,2024-09-04
366,2024-09-10
367,2024-09-13
368,2024-09-12
369,2024-09-12
370,2024-09-12
371,2024-09-13
372,2024-09-10
373,2024-09-11
374,2024-09-13
375,2024-09-13
376,2024-09-11
377,2024-09-11
378,2024-09-11
379,2024-09-05
390,2024-09-11
391,2024-09-12
392,2024-09-12
393,2024-09-18
394,2024-09-12
395,2024-09-11
396,2024-09-06
397,2024-09-13
398,2024-09-12
399,2024-09-13
400,2024-09-10
401,2024-09-12
402,2024-09-06
403,2024-09-12
404,2024-09-11
405,2024-09-13
406,2024-09-16
407,2024-09-06
408,2024-09-06
409,2024-09-09
